#, Field, JSON field name, Field type, Field size in bytes, Comment
":math:`1`", "Version flag", " ", ":ref:`Byte <02_decentralchain:Blockchain Data Types>`", ":math:`1`", "Indicates the transaction version is :math:`2` or higher. Value must be :math:`0`."
":math:`2`", ":ref:`Transaction type ID <02_decentralchain:Transaction Types>`", "type", ":ref:`Byte <02_decentralchain:Blockchain Data Types>`", ":math:`1`", "Value must be :math:`15`."
":math:`3`", "Transaction version", "version", ":ref:`Byte <02_decentralchain:Blockchain Data Types>`", ":math:`1`", "Value must be :math:`1`."
":math:`4`", ":ref:`Chain ID <02_decentralchain:Chain ID>`", "chainId", ":ref:`Byte <02_decentralchain:Blockchain Data Types>`", ":math:`1`", ":math:`87` — for Mainnet. :math:`84` — for Testnet. :math:`83` — for Stagenet."
":math:`5`", "Public key of the transaction sender", "senderPublicKey", "Array[:ref:`Byte <02_decentralchain:Blockchain Data Types>`]", ":math:`32`", " "
":math:`6`", "Token ID to which the asset script is attached", "assetId", "Array[:ref:`Byte <02_decentralchain:Blockchain Data Types>`]", ":math:`32`", " "
":math:`7`", ":ref:`Transaction fee <02_decentralchain:Transaction Fees>`", "fee", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", " "
":math:`8`", "Transaction timestamp", "timestamp", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", " "
":math:`9.1`", "Script existence flag", " ", ":ref:`Boolean <02_decentralchain:Blockchain Data Types>`", ":math:`1`", "If the value is :math:`0`, then the token does not have a script. If the value is :math:`1`, then the token has a script."
":math:`9.2`", "Script size in bytes", " ", ":ref:`Short <02_decentralchain:Blockchain Data Types>`", "S", ":math:`S = 0` if the value of the script existence flag field is :math:`0`. :math:`S = 2` if the value of the script existence flag field is :math:`1`."
":math:`9.3`", ":ref:`Asset script <03_ride-language:Asset Script>`", "script", ":ref:`String <02_decentralchain:Blockchain Data Types>`", "S", ":math:`S = 0` if the value of the script existence flag field is :math:`0`. :math:`0 < S ≤ 8192`, if the value of the script existence flag field is :math:`1`."
":math:`10`", "Transaction proofs", "proofs", "See :ref:`transaction proofs binary format <02_decentralchain:Transaction Proofs Binary Format>`", "S", "If the array is empty, then :math:`S = 3`. If the array is not empty, then :math:`S = 3 + 2 × N + 64 × N`, where :math:`N` is the number of proofs in the array. The maximum number of proofs in the array is :math:`8`. The size of each proof is :math:`64` bytes."
